title,episode_number,coverage_start_date,coverage_end_date,coverage_date
"424: April 21-22, 2020",424,"April 21, 2020","April 22, 2020",
"425: April 23-24, 2020",425,"April 23, 2020","April 24, 2020",
"426: April 27-28, 2020",426,"April 27, 2020","April 28, 2020",
"427: April 29-30, 2020",427,"April 29, 2020","April 30, 2020",
"428: May 1, 2020",428,"May 1, 2020","May 1, 2020","May 1, 2020"
"429: May 3-4, 2020",429,"May 3, 2020","May 4, 2020",
"430: May 5-7, 2020",430,"May 5, 2020","May 7, 2020",
431: Smash-N-Grab Spy Jobs,431,,,
"432: May 10-11, 2020",432,"May 10, 2020","May 11, 2020",
"433: May 12-13, 2020",433,"May 12, 2020","May 13, 2020",
434: Bill Cooper Covers OKC Part 1,434,"May 19, 1995","May 21, 1995",
"435: May 18-21, 2020",435,"May 18, 2020","May 21, 2020",
"436: May 22, 2020",436,"May 22, 2020","May 22, 2020","May 22, 2020"
437: Gawain With a Telescope,437,,,
"438: May 26-28, 2020",438,"May 26, 2020","May 28, 2020",
"439: May 29-31, 2020",439,"May 29, 2020","May 31, 2020",
"440: June 1-2, 2020",440,"June 1, 2020","June 2, 2020",
"441: June 3-4, 2020",441,"June 3, 2020","June 4, 2020",
"442: June 5, 2020",442,"June 5, 2020","June 5, 2020","June 5, 2020"
"443: June 9, 2020",443,"June 9, 2020","June 9, 2020","June 9, 2020"
"444: June 11, 2020",444,"June 11, 2020","June 11, 2020","June 11, 2020"
"445: June 12, 2020",445,"June 12, 2020","June 12, 2020","June 12, 2020"
446: The Super Alpha Male Championship,446,,,
447: Bill Cooper Covers OKC Part 2,447,"April 24, 1995","April 26, 1995",
"448: June 21-22, 2020",448,"June 21, 2020","June 22, 2020",
"449: June 23-24, 2020",449,"June 23, 2020","June 24, 2020",
"450: June 25-26, 2020",450,"June 25, 2020","June 26, 2020",
"451: June 29-30, 2020",451,"June 29, 2020","June 30, 2020",
452: Jordan Takes The Wheel 4,452,"July 1, 2020","July 1, 2020","July 1, 2020"
"453: July 2, 2020",453,"July 2, 2020","July 2, 2020","July 2, 2020"
"454: December 17, 2013",454,"December 17, 2013","December 17, 2013","December 17, 2013"
"455: July 7-8, 2020",455,"July 7, 2020","July 8, 2020",
"456: July 9-11, 2020",456,"July 9, 2020","July 11, 2020",
"457: July 12-13, 2020",457,"July 12, 2020","July 13, 2020",
"458: July 14, 2020",458,"July 14, 2020","July 14, 2020","July 14, 2020"
"459: July 17, 2020",459,"July 17, 2020","July 17, 2020","July 17, 2020"
460: Donk's Dojo,460,,,
"461: July 25, 2020",461,"July 25, 2020","July 25, 2020","July 25, 2020"
"462: July 26, 2020",462,"July 26, 2020","July 26, 2020","July 26, 2020"
"463: July 28-30, 2020",463,"July 28, 2020","July 30, 2020",
"464: July 31-August 1, 2020",464,"July 31, 2020","August 1, 2020",
"465: August 3-4, 2020",465,"August 3, 2020","August 4, 2020",
"466: August 5-6, 2020",466,"August 5, 2020","August 6, 2020",
"467: August 7-9, 2020",467,"August 7, 2020","August 9, 2020",
"468: August 11, 2020",468,"August 11, 2020","August 11, 2020","August 11, 2020"
"469: August 12-13, 2020",469,"August 12, 2020","August 13, 2020",
470: ShadowGate,470,,,
"471: August 14-16, 2020",471,"August 14, 2020","August 16, 2020",
"472: August 17-19, 2020",472,"August 17, 2020","August 19, 2020",
"473: August 20-21, 2020",473,"August 20, 2020","August 21, 2020",
"474: June 6, 2016",474,"June 6, 2016","June 6, 2016","June 6, 2016"
"475: August 24-26, 2020",475,"August 24, 2020","August 26, 2020",
476: Moon Colonies Part 2,476,,,
"477: September 3, 2020",477,"September 3, 2020","September 3, 2020","September 3, 2020"
"478: September 4, 2020",478,"September 4, 2020","September 4, 2020","September 4, 2020"
479: The Devil Went Down To Kiev,479,,,
"480: September 9-10, 2020",480,"September 9, 2020","September 10, 2020",
"481: September 13, 2012",481,"September 13, 2012","September 13, 2012","September 13, 2012"
"482: September 15, 2020",482,"September 15, 2020","September 15, 2020","September 15, 2020"
"483: September 17, 2020",483,"September 17, 2020","September 17, 2020","September 17, 2020"
"484: September 18-19, 2020",484,"September 18, 2020","September 19, 2020",
"485: September 23-24, 2020",485,"September 23, 2020","September 24, 2020",
"486: September 27, 2020",486,"September 27, 2020","September 27, 2020","September 27, 2020"
"487: September 28, 2020",487,"September 28, 2020","September 28, 2020","September 28, 2020"
488: The First Debate Spectacular,488,,,
"489: October 2-4, 2020",489,"October 2, 2020","October 4, 2020",
"490: October 9, 2020",490,"October 9, 2020","October 9, 2020","October 9, 2020"
"491: October 12, 2020",491,"October 12, 2020","October 12, 2020","October 12, 2020"
"492: October 13, 2020",492,"October 13, 2020","October 13, 2020","October 13, 2020"
"493: February 16, 2016",493,"February 16, 2016","February 16, 2016","February 16, 2016"
"494: October 19, 2020",494,"October 19, 2020","October 19, 2020","October 19, 2020"
"495: November 4-6, 2016",495,"November 4, 2016","November 6, 2016",
"496: October 22-23, 2020",496,"October 22, 2020","October 23, 2020",
497: Third Try's A Charm,497,,,
"498: November 7, 2016",498,"November 7, 2016","November 7, 2016","November 7, 2016"
499: Jordan Takes The Wheel 5,499,,,
"500: November 5-6, 2020",500,"November 5, 2020","November 6, 2020",
"501: November 7-8, 2020",501,"November 7, 2020","November 8, 2020",
502: Dan's Cara-Vanity Project Part 1,502,"November 9, 2020","November 11, 2020",
503: Dan's Cara-Vanity Project Part 2,503,"November 1, 2020","November 13, 2020",
"504: November 16-17, 2020",504,"November 16, 2020","November 17, 2020",
"505: November 18, 2020",505,"November 18, 2020","November 18, 2020","November 18, 2020"
"506: November 22-24, 2020",506,"November 22, 2020","November 24, 2020",
507: Jordan Doesn't Know About Walk-Ins,507,,,
"508: December 1-2, 2020",508,"December 1, 2020","December 2, 2020",
"509: December 3-4, 2020",509,"December 3, 2020","December 4, 2020",
510: Fourth Time Is Not A Charm,510,,,
511: The 12/12 Rallies,511,"December 12, 2020","December 12, 2020","December 12, 2020"
"512: December 16-17, 2020",512,"December 16, 2020","December 17, 2020",
"513: December 18, 2020",513,"December 18, 2020","December 18, 2020","December 18, 2020"
514: An X-Mas Report Rebuttal,514,,,
"515: December 28-29, 2020",515,"December 28, 2020","December 29, 2020",
"516: December 31, 2020- January 1, 2021",516,"December 30, 2020","January 1, 2021",
"517: January 5-6, 2021",517,"January 5, 2021","January 6, 2021",
"518: January 7-8, 2021",518,"January 7, 2021","January 8, 2021",
"519: January 10-11, 2021",519,"January 10, 2021","January 11, 2021",
"520: January 12-13, 2021",520,"January 12, 2021","January 13, 2021",
521: Salt Break,521,,,
"522: January 14-17, 2021",522,"January 14, 2021","January 17, 2021",
"523: January 18-19, 2021",523,"January 18, 2021","January 19, 2021",
524: Inauguration 2021,524,"January 20, 2021","January 20, 2021","January 20, 2021"
"525: January 27, 2021",525,"January 27, 2021","January 27, 2021","January 27, 2021"
"526: January 28-31, 2021",526,"January 28, 2021","January 31, 2021",
"527: February 4, 2021",527,"February 4, 2021","February 4, 2021","February 4, 2021"
528: 2021 Super Bowl Commercial Spectacular,528,"February 7, 2021","February 7, 2021","February 7, 2021"
"529: February 8, 2021",529,"February 8, 2021","February 8, 2021","February 8, 2021"
"530: February 10-11, 2021",530,"February 10, 2021","February 11, 2021",
"531: February 14, 2021",531,"February 14, 2021","February 14, 2021","February 14, 2021"
"532: February 15, 2021",532,"February 15, 2021","February 15, 2021","February 15, 2021"
"533: February 17, 2021",533,"February 17, 2021","February 17, 2021","February 17, 2021"
"534: February 19, 2021",534,"February 19, 2021","February 19, 2021","February 19, 2021"
"535: October 16, 2014",535,"October 16, 2014","October 16, 2014","October 16, 2014"
"536: February 28, 2021",536,"February 28, 2021","February 28, 2021","February 28, 2021"
"537: July 16-18, 2010",537,"July 16, 2010","July 18, 2010",
"538: March 2, 2021",538,"March 2, 2021","March 2, 2021","March 2, 2021"
"539: March 10, 2021",539,"March 10, 2021","March 10, 2021","March 10, 2021"
"540: March 15-16, 2021",540,"March 15, 2021","March 16, 2021",
"541: March 17-18, 2021",541,"March 17, 2021","March 18, 2021",
"542: September 15, 2010",542,"September 15, 2010","September 15, 2010","September 15, 2010"
"543: March 23-24, 2021",543,"March 23, 2021","March 24, 2021",
"544: May 1, 2003",544,"May 1, 2003","May 1, 2003","May 1, 2003"
"545: March 30-31, 2021",545,"March 30, 2021","March 31, 2021",
"546: April 1-3, 2021",546,"April 1, 2021","April 3, 2021",
"547: April 8, 2021",547,"April 8, 2021","April 8, 2021","April 8, 2021"
"548: May 5, 2003",548,"May 5, 2003","May 5, 2003","May 5, 2003"
"549: April 13-14, 2021",549,"April 13, 2021","April 14, 2021",
"550: April 16, 2021",550,"April 16, 2021","April 16, 2021","April 16, 2021"
"551: April 20-21, 2021",551,"April 20, 2021","April 21, 2021",
"552: May 6, 2003",552,"May 6, 2003","May 6, 2003","May 6, 2003"
"553: April 26-27, 2021",553,"April 26, 2021","April 27, 2021",
"554: April 30, 2021",554,"April 30, 2021","April 30, 2021","April 30, 2021"
"555: May 7, 2003",555,"May 7, 2003","May 7, 2003","May 7, 2003"
"556: May 6-7, 2021",556,"May 6, 2021","May 7, 2021",
"557: May 11, 2021",557,"May 11, 2021","May 11, 2021","May 11, 2021"
"558: May 8-9, 2003",558,"May 8, 2003","May 9, 2003",
559: Noam Man's Land,559,,,
"560: May 12-13, 2003",560,"May 12, 2003","May 13, 2003",
561: Jordan Takes The Wheel 6,561,,,
"562: May 27, 2021",562,"May 27, 2021","May 27, 2021","May 27, 2021"
"563: June 2, 2021",563,"June 2, 2021","June 2, 2021","June 2, 2021"
"564: May 15-20, 2003",564,"May 15, 2003","May 20, 2003",
"565: June 10, 2021",565,"June 10, 2021","June 10, 2021","June 10, 2021"
"566: May 21, 2003",566,"May 21, 2003","May 21, 2003","May 21, 2003"
"567: June 13, 2021",567,"June 13, 2021","June 13, 2021","June 13, 2021"
"568: June 19, 2021",568,"June 19, 2021","June 19, 2021","June 19, 2021"
"569: June 23, 2021",569,"June 23, 2021","June 23, 2021","June 23, 2021"
"570: June 24, 2021",570,"June 24, 2021","June 24, 2021","June 24, 2021"
"571: May 22-27, 2003",571,"May 22, 2003","May 27, 2003",
"572: June 28-30, 2021",572,"June 28, 2021","June 30, 2021",
"573: July 1, 2021",573,"July 1, 2021","July 1, 2021","July 1, 2021"
"574: May 28-29, 2003",574,"May 28, 2003","May 29, 2003",
"575: July 4, 2021",575,"July 4, 2021","July 4, 2021","July 4, 2021"
"576: July 9, 2021",576,"July 9, 2021","July 9, 2021","July 9, 2021"
"577: July 13, 2021",577,"July 13, 2021","July 13, 2021","July 13, 2021"
578: A Little Side Track,578,,,
"579: May 30, 2003",579,"May 30, 2003","May 30, 2003","May 30, 2003"
"580: July 20-21, 2021",580,"July 20, 2021","July 21, 2021",
"581: June 3, 2003",581,"June 3, 2003","June 3, 2003","June 3, 2003"
582: Chattin' With Jared,582,,,
"583: August 1, 2021",583,"August 1, 2021","August 1, 2021","August 1, 2021"
"584: August 5, 2021",584,"August 5, 2021","August 5, 2021","August 5, 2021"
"585: August 8, 2021",585,"August 8, 2021","August 8, 2021","August 8, 2021"
Repost: Episode #25,25(Repost),"March 20, 2017","March 24, 2017",
"586: August 11-12, 2021",586,"August 11, 2021","August 12, 2021",
"587: August 14, 2021",587,"August 14, 2021","August 14, 2021","August 14, 2021"
"588: August 15, 2021",588,"August 15, 2021","August 15, 2021","August 15, 2021"
"589: August 18-20, 2021",589,"August 18, 2021","August 20, 2021",
"590: August 24, 2021",590,"August 24, 2021","August 24, 2021","August 24, 2021"
"591: June 11, 2003",591,"June 11, 2003","June 11, 2003","June 11, 2003"
"592: June 12, 2003",592,"June 12, 2003","June 12, 2003","June 12, 2003"
"593: September 2, 2021",593,"September 2, 2021","September 2, 2021","September 2, 2021"
"594: September 7, 2021",594,"September 7, 2021","September 7, 2021","September 7, 2021"
595: Boulder Missiles and Gettysburg Nukes,595,,,
596: Possibly Too Much Wacky,596,,,
"597: September 14, 2021",597,"September 14, 2021","September 14, 2021","September 14, 2021"
"598: September 17, 2021",598,"September 17, 2021","September 17, 2021","September 17, 2021"
"599: June 13, 2003",599,"June 13, 2003","June 13, 2003","June 13, 2003"
"600: September 22, 2021",600,"September 22, 2021","September 22, 2021","September 22, 2021"
"601: June 16, 2003",601,"June 16, 2003","June 16, 2003","June 16, 2003"
602: Sandy Hook Response,602,,,
"603: October 3-4, 2021",603,"October 3, 2021","October 4, 2021",
"604: October 5, 2021",604,"October 5, 2021","October 5, 2021","October 5, 2021"
"605: June 17, 2003",605,"June 17, 2003","June 17, 2003","June 17, 2003"
"606: June 18-19, 2003",606,"June 18, 2003","June 19, 2003",
607: A Chat With Mike Rothschild,607,,,
608: Jordan Takes The Wheel 7,608,,,
"609: October 20, 2021",609,"October 20, 2021","October 20, 2021","October 20, 2021"
"610: June 23, 2003",610,"June 23, 2003","June 23, 2003","June 23, 2003"
"611: October 29, 2021",611,"October 29, 2021","October 29, 2021","October 29, 2021"
"612: October 31, 2021",612,"October 31, 2021","October 31, 2021","October 31, 2021"
"613: June 24-25, 2003",613,"June 24, 2003","June 25, 2003",
614: The Purge of Gates,614,,,
"615: November 8, 2021?",615,"November 8, 2021","November 8, 2021","November 8, 2021"
"616: November 9, 2021",616,"November 9, 2021","November 9, 2021","November 9, 2021"
"617: June 27, 2003",617,"June 27, 2003","June 27, 2003","June 27, 2003"
"618: November 15, 2021",618,"November 15, 2021","November 15, 2021","November 15, 2021"
"619: November 16, 2021",619,"November 16, 2021","November 16, 2021","November 16, 2021"
"620: November 23, 2021",620,"November 23, 2021","November 23, 2021","November 23, 2021"
621: Reset Wars: Episode 1,621,,,
"622: June 30-July 1, 2003",622,"June 30, 2003","July 1, 2003",
"623: July 2-3, 2003",623,"July 2, 2003","July 3, 2003",
"624: November 30, 2021",624,"November 30, 2021","November 30, 2021","November 30, 2021"
"625: December 5, 2021",625,"December 5, 2021","December 5, 2021","December 5, 2021"
"626: December 9, 2021",626,"December 9, 2021","December 9, 2021","December 9, 2021"
627: Reset Wars: Episode 2,627,,,
"628: July 10, 2003",628,"July 10, 2003",,
629: Black Goo and Space Covid,629,,,
630: Mr. Jones Goes to Washington (To Sue Congress),630,,,
No One Is Mad At The Crew,S010,"June 30, 1998","June 30, 1998","June 30, 1998"
"631: December 20, 2021",631,"December 20, 2021","December 20, 2021","December 20, 2021"
632: Christmas Message and More,632,"December 25, 2021","December 29, 2021",
"633: December 30, 2021",633,"December 30, 2021","December 30, 2021","December 30, 2021"
"634: July 11, 2003",634,"July 11, 2003","July 11, 2003","July 11, 2003"
"635: January 6-7, 2022",635,"January 6, 2022","January 7, 2022",
"636: April 27, 2009",636,"April 27, 2009","April 27, 2009","April 27, 2009"
"637: January 13, 2022",637,"January 13, 2022","January 13, 2022","January 13, 2022"
638: See You At The Cross-Rhodes,638,"July 2, 2021","July 2, 2021","July 2, 2021"
"639: January 17, 2022",639,"January 17, 2022","January 17, 2022","January 17, 2022"
"640: January 22, 2022",640,"January 22, 2022","January 22, 2022","January 22, 2022"
641: Formulaic Objections Part 4,641,,,
"642: January 24, 2022",642,"January 24, 2022","January 24, 2022","January 24, 2022"
"643: January 28, 2022",643,"January 28, 2022","January 28, 2022","January 28, 2022"
"644: February 2, 2022",644,"February 2, 2022","February 2, 2022","February 2, 2022"
"645: November 4, 2014",645,"November 4, 2014","November 4, 2014","November 4, 2014"
"646: February 6, 2022",646,"February 6, 2022","February 6, 2022","February 6, 2022"
"647: February 8, 2022",647,"February 8, 2022","February 8, 2022","February 8, 2022"
"648: February 11, 2022",648,"February 11, 2022","February 11, 2022","February 11, 2022"
"649: February 14, 2022",649,"February 14, 2022","February 14, 2022","February 14, 2022"
"650: July 17, 2003",650,"July 17, 2003","July 17, 2003","July 17, 2003"
"651: February 18, 2022",651,"February 18, 2022","February 18, 2022","February 18, 2022"
"652: February 21-24, 2022",652,"February 21, 2022","February 24, 2022",
"653: February 25, 2022",653,"February 25, 2022","February 25, 2022","February 25, 2022"
"654: February 27, 2022",654,"February 27, 2022","February 27, 2022","February 27, 2022"
"655: July 18, 2003",655,"July 18, 2003","July 18, 2003","July 18, 2003"
